Name,Nationality,Position,Club,Overall Rating,Pace,Shooting,Passing,Dribbling,Defending,Physical,Age
Tülay Hornich,Germany,Defender,RB Leipzig,81,73,63,74,84,52,84,37
Sebastián Vallejos Ríos,Chile,Goalkeeper,Al-Ahli,80,70,73,76,71,58,75,39
Gabriel Sousa,Portugal,Forward,Burnley,85,74,68,72,75,53,73,26
Todd Daniels,Slovakia,Midfielder,Inter Milan,78,73,64,74,85,62,69,39
Cameron David,Bangladesh,Goalkeeper,Barcelona,81,77,58,72,85,56,66,39
Sander van Kuijc,Netherlands,Forward,Atlético Madrid,78,73,62,77,74,58,76,26
Erika Andrews,Guinea,Defender,Olympique Lyon,74,70,67,69,73,54,72,21
Deborah Davenport,USA,Goalkeeper,Real Madrid,81,71,74,70,66,59,72,20
Alvar Alm,Sweden,Defender,Burnley,82,63,61,68,69,59,68,29
Janice Rosales,Scotland,Defender,Leeds United,83,68,63,72,82,58,77,30
Prof. Tove Dahl,Denmark,Forward,Fiorentina,75,76,66,66,74,59,67,31
Wesley Carpenter,Algeria,Defender,Real Betis,81,62,60,68,63,55,74,22
Donna Figueroa,Republic of Ireland,Midfielder,Roma,77,69,62,65,78,56,75,27
Nicole Mendoza,Bangladesh,Forward,Wolverhampton,79,69,58,66,72,68,67,26
Josefa Rubio Padilla,Chile,Defender,Inter Miami,83,66,55,63,75,57,70,39
박준서,South Korea,Forward,Chelsea,81,78,69,70,73,58,76,30
Jan Svensson,Sweden,Forward,Benfica,78,68,66,64,74,62,72,29
Biagio Casellati,Italy,Goalkeeper,Leicester City,82,78,68,70,70,55,85,20
Sarah Coppens,Belgium,Goalkeeper,PSG,76,79,64,69,80,60,74,27
Iva Lenić,Croatia,Goalkeeper,Fiorentina,81,74,54,61,71,66,73,20
Mariah Clark,Morocco,Goalkeeper,Trabzonspor,83,67,58,80,79,52,67,33
Sean Crawford,Algeria,Midfielder,RB Leipzig,78,72,66,82,77,49,70,31
Alexis Leon,Uruguay,Goalkeeper,Galatasaray,82,63,63,72,75,65,75,23
Scott Flores,Austria,Defender,Juventus,84,62,63,67,84,64,79,26
Mark Singleton,USA,Goalkeeper,Chicago Fire,79,69,62,66,75,51,71,22
Nikola Herceg,Croatia,Forward,Retired,80,67,68,68,78,54,80,31
Dipl.-Ing. Angelika Speer,Germany,Defender,Leicester City,78,75,57,62,69,52,67,18
Selena Schiffer,Netherlands,Defender,Nottingham Forest,91,73,58,62,73,67,67,22
Elisabeth Högberg,Sweden,Goalkeeper,Watford,80,72,65,75,72,63,79,19
Marissa Bertoli,Italy,Goalkeeper,Inter Miami,84,67,58,64,85,54,74,20
Bradley Richardson,Guinea,Defender,Inter Milan,87,72,66,65,72,61,79,39
Luke Johnson,Nigeria,Midfielder,Chittagong Abahani,82,69,66,69,68,57,71,36
Evelyn Ortega Navarro,Chile,Midfielder,Crystal Palace,85,70,59,77,80,57,80,19
Benigna Pellicer Porras,Spain,Goalkeeper,Liverpool,76,62,60,70,72,70,72,36
Isidor Heser B.Eng.,Germany,Defender,Roma,82,79,64,69,66,57,70,40
Kirsten Kelly,Bangladesh,Defender,Tottenham,82,62,70,70,73,57,75,26
Roy Mullins,Bangladesh,Forward,Bayer Leverkusen,81,68,65,65,77,50,67,37
박정호,South Korea,Midfielder,Retired,88,74,76,67,84,64,80,37
Vinícius Pires,Brazil,Defender,Atlético Madrid,82,77,69,88,66,60,78,22
Božo Martinić,Croatia,Midfielder,Inter Milan,84,80,55,74,76,62,71,37
Mariechen Patberg,Germany,Forward,Arsenal,86,65,55,78,73,54,89,26
Kathleen Arroyo,Ivory Coast,Defender,Olympique Marseille,78,70,64,73,78,66,72,19
Wendy Skinner,Switzerland,Forward,Arsenal,79,82,59,66,80,54,60,34
Nancy Brewer,Algeria,Midfielder,Leeds United,82,73,68,62,72,62,81,26
Jamie Young,Santos,Defender,Leipzig,84,67,64,71,78,55,79,29
Rita Fernandez,Norway,Defender,Aston Villa,81,75,67,70,66,54,66,35
Chelsea Marshall,Kenya,Forward,Atletico Madrid,85,71,70,84,68,48,70,33
Elizabeth Weaver,Senegal,Midfielder,Leicester City,81,61,63,78,73,51,71,25
Patricia Rivers,Ivory Coast,Goalkeeper,Barcelona,81,74,48,76,76,57,70,40
Donna Holt,USA,Forward,Al-Nassr,82,72,66,65,75,60,65,22
Antoine Leduc,France,Forward,Juventus,83,72,63,74,80,60,74,19
Rita Dobes-Löwer,Germany,Goalkeeper,Chelsea,81,68,60,64,76,53,71,25
John Harrell,Slovakia,Forward,Orlando City,84,80,65,65,75,58,70,22
Mateo Poslon,Croatia,Defender,Retired,80,73,60,71,69,63,71,36
Donald Rodriguez,Norway,Defender,Al-Hilal,81,70,63,76,80,63,70,34
Kristy Brown MD,Santos,Forward,Arsenal,81,70,71,69,72,52,69,30
Paulo Pacheco,Brazil,Forward,Grêmio,82,82,60,70,74,55,90,24
Anders Persson,Sweden,Midfielder,Manchester City,84,82,59,71,71,49,67,19
Diane Le Goff,France,Midfielder,Benfica,82,68,62,69,65,63,67,39
Hailey Garcia,Slovakia,Defender,Al-Rayyan,79,66,66,73,77,67,82,23
Arnaude Lévêque du Raymond,France,Defender,Saif SC,85,73,70,69,74,56,71,21
Kenneth Jonsson,Sweden,Midfielder,Inter Miami,76,63,67,70,78,64,78,25
Christine Mendoza,Ivory Coast,Forward,Vissel Kobe,82,61,67,67,81,60,77,29
Joseph Gonzalez,USA,Forward,Santos,84,71,69,67,70,60,73,29
Nicole Summers,Senegal,Midfielder,Juventus,85,77,66,71,80,60,65,32
Alessia Cipolla,Italy,Goalkeeper,Retired,79,75,63,71,82,58,78,29
Rhavi da Rosa,Brazil,Midfielder,Juventus,85,73,72,69,77,62,68,19
Felipe Lopes,Brazil,Defender,RB Leipzig,84,67,67,75,75,57,74,19
Michelle Chang,Ivory Coast,Midfielder,Atlético Madrid,86,67,59,72,77,62,72,29
Douglas Arnold,Scotland,Defender,OGC Nice,79,73,70,75,74,61,77,31
James Ray,Cameroon,Forward,Burnley,79,73,60,74,81,55,76,22
Carrie Boone,Slovakia,Forward,Borussia Mönchengladbach,83,65,71,74,75,60,81,39
Xiomara Jódar Ariza,Spain,Defender,Atletico Madrid,82,74,70,70,75,63,73,30
William Daniels,USA,Defender,Bayern Munich,80,78,61,69,78,64,68,32
Wendy Bullock,Serbia,Forward,AC Milan,80,78,64,73,74,59,78,35
Thomas Lawrence,Bangladesh,Goalkeeper,Olympique Marseille,74,67,58,66,73,51,76,30
Samantha Hart,Switzerland,Midfielder,Aston Villa,83,58,62,73,72,60,68,33
Yurani Agudelo,Colombia,Midfielder,Everton,85,73,66,76,70,58,79,30
Jeffrey Reynolds,USA,Defender,Udinese,83,73,61,60,77,55,69,18
Luisa Ayleen Tobar Bustamante,Chile,Midfielder,Inter Miami,80,74,60,81,75,57,78,20
Joaquín Benicio Guzman,Argentina,Midfielder,Fiorentina,81,70,61,66,81,54,75,25
Yolanda Tanner,Kenya,Defender,Real Sociedad,83,65,71,64,71,55,71,23
Madalena da Macedo,Portugal,Goalkeeper,Olympique Marseille,82,74,64,68,76,57,70,26
Nathan Allen,USA,Defender,Wrexham,82,72,74,70,78,57,70,40
Lori Nguyen,USA,Defender,Olympique Lyon,79,67,62,74,79,61,70,33
Alexandra Zavala,USA,Forward,Al-Hilal,77,78,64,72,81,53,68,31
Pietro Melo,Brazil,Defender,Al-Ahli,85,76,64,69,68,63,76,22
Melinda Miller,Santos,Goalkeeper,Watford,78,76,57,78,69,52,71,22
Dan Jones,Northern Ireland,Midfielder,Ajax,79,74,63,76,68,71,72,40
Anthony Skinner,Kenya,Forward,Saif SC,79,76,68,76,74,58,77,23
Sr. Emanuel Lima,Brazil,Midfielder,Inter Milan,86,72,64,72,84,61,75,28
Larry Ramirez,Georgia,Defender,Al-Hilal,84,65,57,80,74,61,76,36
Madeline Lowe,Georgia,Defender,Barcelona,80,82,66,72,68,68,73,21
Owen van Luxemburg-Jdotte,Netherlands,Goalkeeper,Real Madrid,81,76,71,73,76,50,66,31
Justin Murray,Egypt,Midfielder,Fiorentina,78,74,66,77,83,58,72,32
Leah Allen,Slovenia,Defender,Chelsea,82,70,56,72,73,62,82,34
Mary Hudson,Norway,Goalkeeper,Flamengo,80,70,56,77,73,61,73,23
Pedro Azevedo-Carvalho,Portugal,Midfielder,Orlando City,85,69,59,71,73,62,66,31
Karen Jimenez,Guinea,Goalkeeper,Barcelona,85,69,68,64,71,49,74,29
Tamara Miller,Nigeria,Goalkeeper,Orlando City,81,55,59,65,70,61,65,26
Jeremy Bush,Algeria,Goalkeeper,Napoli,79,76,65,67,74,54,65,23
Pedro Lourenço,Portugal,Defender,Orlando City,81,77,65,70,90,61,75,20
Paul Garcia,USA,Goalkeeper,Sevilla,85,65,61,69,72,55,71,35
Daniel Wade,Georgia,Midfielder,Wrexham,77,70,70,75,75,60,75,35
Alain Antoine,Belgium,Defender,Newcastle United,83,69,62,64,71,50,68,20
Benjamin Larson,Nigeria,Forward,Barcelona,80,64,77,55,76,59,74,37
Danielle Barker,Republic of Ireland,Goalkeeper,Rayo Vallecano,84,68,50,70,60,61,69,20
pan Tomasz Maciejko,Poland,Midfielder,Olympique Lyon,75,67,65,69,71,61,80,39
Courtney Howard,Scotland,Goalkeeper,Udinese,81,72,62,75,70,56,63,30
Kevin Wood,Republic of Ireland,Defender,Udinese,80,73,65,77,76,59,75,32
Louise Andersson,Sweden,Goalkeeper,PSV Eindhoven,84,68,62,72,76,68,66,24
Matías Daniel Villanueva Tello,Chile,Defender,Leicester City,81,65,63,70,82,61,71,22
Natalie Jones,England,Midfielder,Borussia Mönchengladbach,82,71,63,72,84,64,79,18
Terry Knight,Algeria,Goalkeeper,Leicester City,83,77,64,74,77,55,72,37
Cristina Bermúdez,Mexico,Forward,Nottingham Forest,84,68,55,69,77,56,73,27
Veronica Jensen,Morocco,Goalkeeper,RB Leipzig,83,82,70,63,71,62,81,38
Sean Avery,Northern Ireland,Goalkeeper,Retired,82,70,66,69,73,61,74,29
Scarlette Pamela Castillo Molina,Chile,Defender,Barcelona,83,68,61,73,75,47,78,21
Simão Pinho-Martins,Portugal,Midfielder,Everton,81,76,64,65,68,57,63,36
Amy Sexton,Northern Ireland,Forward,Atletico Madrid,82,69,67,74,78,66,71,26
Ian Candelaria Perez Romero,Argentina,Goalkeeper,AS Roma,85,74,66,81,62,54,82,32
Sandra Poole,Senegal,Midfielder,Fiorentina,82,78,59,67,78,55,87,22
Bernardo Pacheco,Portugal,Goalkeeper,Real Sociedad,79,65,65,70,80,53,78,26
Amanda Hartman,Egypt,Forward,Abahani Limited,77,75,63,71,81,57,72,33
Petra Bezić,Croatia,Goalkeeper,Trabzonspor,78,68,70,66,75,61,76,31
Ethan Sanchez,Ivory Coast,Midfielder,OGC Nice,80,70,64,71,78,57,70,30
Brian Acevedo,USA,Goalkeeper,Sevilla,86,76,66,71,66,58,70,38
Susan Hayden,Ecuador,Midfielder,Flamengo,78,73,73,67,70,58,68,26
Jennifer Rivas,Egypt,Defender,Saif SC,76,66,63,70,80,58,74,39
한수민,South Korea,Defender,Arsenal,79,82,67,65,79,56,70,31
Yecid Ricardo Guerrero Sanabria,Colombia,Goalkeeper,Montreal Impact,84,74,66,68,74,63,77,20
Jonathan Macdonald,Morocco,Forward,Espanyol,82,80,59,71,74,63,70,22
Evan Bell,Senegal,Midfielder,LA Galaxy,79,79,73,72,75,61,79,40
Caroline Collins,Nigeria,Defender,Montreal Impact,83,64,72,74,67,58,79,36
Mélanie Gilbert,Belgium,Forward,Liverpool,76,74,66,68,72,71,69,33
Mary Schwartz,Uruguay,Defender,Abahani Limited,75,82,69,71,82,56,70,19
Brian Daniel,Senegal,Forward,PSV Eindhoven,80,71,67,83,78,58,64,34
Samuel Hobbs DDS,Ecuador,Defender,Benfica,82,78,66,78,82,60,74,24
Justin Wilcox,Uruguay,Forward,Leeds United,85,75,62,76,71,55,80,21
Joachim Sørensen,Denmark,Goalkeeper,Watford,78,69,74,69,79,60,79,40
Oscar James,Ecuador,Midfielder,PSG,75,66,66,73,89,57,72,31
Anna Evans,Northern Ireland,Forward,Benfica,78,69,67,65,83,59,67,24
Oskar Lindholm,Sweden,Defender,AC Milan,81,71,63,71,76,58,77,37
Pamela Goodman,Bangladesh,Midfielder,PSG,79,72,71,73,83,66,72,28
Mark Moreno Jr.,Norway,Midfielder,Atlético Madrid,79,78,65,77,75,66,77,31
Thiago Leonel Bautista Maldonado Martinez,Argentina,Forward,Sheikh Jamal Dhanmondi Club,81,73,70,73,60,62,71,40
Arthur Swanson,Nigeria,Forward,Burnley,81,75,66,69,75,57,66,34
Audrey Hernandez,Algeria,Goalkeeper,AC Milan,80,69,64,62,66,62,79,31
Abigail Daugherty,Ecuador,Defender,Bayer Leverkusen,81,76,65,74,73,56,72,22
Joseph Winters,Northern Ireland,Goalkeeper,LA Galaxy,76,73,64,69,65,54,72,20
Courtney Goodman,Uruguay,Midfielder,Ajax,85,64,60,62,82,58,69,31
Emily Martinez,USA,Forward,Olympique Lyon,85,73,64,73,74,58,76,31
Yasmin Azevedo,Portugal,Forward,Inter Milan,79,73,68,65,74,54,70,28
Allen Snyder,Algeria,Forward,Orlando City,85,76,70,76,79,56,60,28
Michael Harrell,Kenya,Midfielder,Olympique Marseille,83,74,64,73,71,50,70,29
Tyrone Page,Austria,Forward,Wolverhampton,79,73,63,69,79,59,73,30
Abel van Haeften,Netherlands,Forward,Saif SC,82,70,67,66,70,53,68,25
Kristen White,Cameroon,Midfielder,Retired,78,67,73,76,74,66,69,25
Viktor Ivarsson,Sweden,Midfielder,OGC Nice,82,80,60,74,71,64,72,38
Carlijn van der Heijden,Netherlands,Defender,Al-Ittihad,83,72,66,82,77,50,75,32
Tammy Olson,Norway,Midfielder,Crystal Palace,83,66,62,71,68,65,80,20
Jeffrey Anderson,Northern Ireland,Midfielder,Real Madrid,76,75,73,77,74,58,75,35
Lena Carlsson,Sweden,Defender,Villarreal,79,78,59,72,69,55,76,35
최서현,South Korea,Goalkeeper,Chicago Fire,82,75,62,73,70,64,65,36
Marija Hadrović,Croatia,Midfielder,Sevilla,81,68,66,61,86,67,75,28
Mark Pope,Slovakia,Defender,Orlando City,82,77,58,70,67,62,70,22
Christopher Crane,Kenya,Defender,Atlético Madrid,78,58,61,76,76,59,76,37
María Ángeles Toro Girona,Spain,Defender,Manchester United,84,63,56,64,68,57,61,23
Troy Marshall,Slovakia,Defender,Galatasaray,86,67,62,79,64,51,70,38
Martín Isabella Pereyra Silva,Argentina,Midfielder,Barcelona,81,75,59,73,73,52,75,31
Amalia Jaime Villaseñor,Mexico,Goalkeeper,Chelsea,81,71,57,71,77,55,83,30
Stefan Sudak,Poland,Midfielder,Crystal Palace,80,74,63,68,72,60,73,24
Terry Shaw,England,Forward,Espanyol,83,82,59,65,74,60,74,37
Nicholas Ferguson,Georgia,Midfielder,Sevilla,83,64,61,66,72,63,67,21
Alyssa Thompson,Northern Ireland,Midfielder,Liverpool,84,77,69,63,81,49,81,21
Gloria Sullivan,Uruguay,Forward,Tottenham,77,74,53,69,78,55,75,24
Joseph Perry,Republic of Ireland,Defender,Retired,78,71,63,69,68,57,68,28
Shannon Fernandez,Egypt,Goalkeeper,Al-Nassr,83,66,64,72,72,61,85,34
John Barrett,Guinea,Forward,Vissel Kobe,83,68,62,60,80,57,77,20
Sarah Golden,Austria,Goalkeeper,Al-Ittihad,79,72,67,60,77,58,67,34
Anthony Valdez,Georgia,Goalkeeper,PSG,85,71,68,71,73,61,74,21
Judith Perez,Serbia,Forward,Santos,79,73,59,72,81,63,69,27
George Bell,Bangladesh,Midfielder,Ajax,81,74,63,74,70,52,66,31
Nataša Cvenić,Croatia,Goalkeeper,Al-Ahli,83,78,62,69,72,56,77,25
Emilio Alarcón,Chile,Defender,PSG,81,76,62,71,77,65,67,34
Clarice Oliveira,Brazil,Goalkeeper,Atletico Madrid,80,77,56,63,72,58,76,25
Timothy Pacheco DDS,Uruguay,Forward,Real Madrid,81,77,66,69,78,60,82,19
Shane Ward,Norway,Defender,Al-Rayyan,83,70,66,66,63,63,71,27
Aimée Chevallier-Bonneau,France,Goalkeeper,Flamengo,81,72,62,66,75,59,70,19
Lonnie Hansen,Ecuador,Midfielder,Benfica,84,72,64,72,70,62,72,24
Sabrina Short,Guinea,Defender,OGC Nice,77,75,67,70,76,46,77,39
Patrizia Tanzini-Cagnin,Italy,Midfielder,RB Leipzig,72,72,62,68,74,68,66,29
Kimberly Gonzalez,Ivory Coast,Defender,Abahani Limited,80,66,64,69,70,53,65,28
Stephanie Fischer,Georgia,Midfielder,Rayo Vallecano,80,77,61,77,75,57,66,39
Miss Jessica Morris,Switzerland,Goalkeeper,AS Roma,85,66,64,76,72,57,75,23
Dustin Choi,Georgia,Forward,Trabzonspor,75,64,61,72,74,65,87,39
Sarah Fischer,Switzerland,Defender,Udinese,81,66,63,79,69,65,74,38
Ulla Nordin,Sweden,Defender,Watford,83,71,68,70,69,57,72,32
Antonio Miles,Austria,Defender,Watford,77,69,68,80,74,46,79,26
Matthew Gutierrez,Slovakia,Midfielder,Villarreal,84,79,69,66,68,65,77,37
Lisa Phelps,Slovakia,Defender,Bayer Leverkusen,81,72,64,66,82,58,69,22
Frederick Shah,England,Midfielder,Sheikh Jamal Dhanmondi Club,79,71,54,71,69,59,75,31
Jacek Salwin,Poland,Goalkeeper,Leeds United,84,72,61,75,68,56,76,35
Melinda Ruiz,Bangladesh,Forward,Chicago Fire,79,74,59,60,71,56,72,20
Ivan Schroeff,Netherlands,Midfielder,Aston Villa,82,64,59,74,71,55,73,20
Leroy Williams,Switzerland,Midfielder,Inter Milan,79,74,63,72,83,60,69,28
Emily Spencer,Slovakia,Goalkeeper,Atletico Madrid,81,66,63,68,75,58,82,26
Antoine Charles-Lelièvre,France,Midfielder,Al-Sadd,79,77,59,69,77,46,71,39
Mauricio José Galleguillos Gallardo,Chile,Goalkeeper,PSG,86,75,62,70,83,57,74,36
Edwin Clark MD,Northern Ireland,Midfielder,Montreal Impact,80,77,60,76,72,56,74,38
Kike Luna Escolano,Spain,Goalkeeper,OGC Nice,80,74,58,71,66,51,80,40
Mr. Christopher Martin,Serbia,Forward,Galatasaray,84,71,63,72,73,54,69,24
Aaron Martin,Uruguay,Midfielder,Newcastle United,85,70,66,72,67,52,79,36
Sr. Francisco Albuquerque,Brazil,Goalkeeper,AS Roma,81,71,59,68,69,64,79,19
Juliana Luisina Sosa Sanchez,Argentina,Defender,Retired,86,70,65,72,75,57,77,30
Sr. Danilo Correia,Brazil,Defender,AS Roma,82,70,68,69,70,49,73,31
pani Agnieszka Graboś,Poland,Forward,Orlando City,76,75,66,68,62,54,64,28
Robert Tran,Northern Ireland,Forward,Barcelona,75,64,68,79,80,61,67,26
Philip Hampton,Guinea,Goalkeeper,Liverpool,77,63,67,72,79,61,80,20
Isaiah Clark,Republic of Ireland,Defender,Borussia Mönchengladbach,85,79,63,71,69,57,73,35
Nichole Martinez,Slovenia,Defender,RB Leipzig,78,82,64,74,82,60,74,39
Debra Hunt,Bangladesh,Defender,Manchester City,77,75,65,68,79,61,70,37
Brandon Roberts,Senegal,Goalkeeper,Udinese,85,67,64,67,82,59,80,39
Walter Mayer,Slovenia,Forward,Rayo Vallecano,78,64,61,67,77,60,73,40
David Buckley,Senegal,Goalkeeper,Chittagong Abahani,84,80,66,74,75,64,74,23
Nancy Brooks,Slovakia,Defender,Borussia Mönchengladbach,83,79,69,72,70,60,70,25
Kevin Rocha,Cameroon,Forward,Galatasaray,83,66,74,77,80,64,69,26
Mario Mueller,Cameroon,Forward,Chittagong Abahani,82,75,67,81,76,58,75,34
Julia Machado,Brazil,Defender,Juventus,80,58,69,73,62,58,74,34
Matias da Ramos,Portugal,Forward,Leeds United,81,70,65,68,82,58,66,24
Keith Hernandez,Norway,Defender,Al-Rayyan,82,66,66,75,76,52,71,32
Joaquin Sofia Gonzalez Chavez,Argentina,Goalkeeper,Montreal Impact,82,74,65,79,72,67,65,23
Richard Claudio Sepúlveda Palacios,Chile,Defender,Aston Villa,82,73,55,67,67,53,74,18
Christina Harris,Slovenia,Defender,RB Leipzig,83,69,63,69,71,55,62,20
Lisa Taylor,Georgia,Forward,Leipzig,78,76,68,74,62,61,66,18
Jeffrey Lane,Guinea,Goalkeeper,PSV Eindhoven,80,69,63,79,76,68,68,26
Stephanie Novak,Slovenia,Defender,Leicester City,78,74,68,69,60,58,75,32
Linda Sparks,Cameroon,Forward,Udinese,81,77,64,62,70,68,76,30
Dr. Yuri Teixeira,Brazil,Goalkeeper,Wrexham,80,79,70,65,74,63,77,26
Andres Daniels,Ecuador,Defender,Manchester City,83,80,54,69,74,57,83,37
Player9628,Senegal,Goalkeeper,Fiorentina,83,75,69,76,73,64,77,24
George Jensen,Denmark,Forward,OGC Nice,81,70,71,73,70,59,86,33
Eric Hampton,Kenya,Defender,Montreal Impact,87,72,61,67,70,57,70,40
Jessica Gray,Scotland,Forward,Al-Hilal,79,73,62,70,77,52,70,30
Julie Cain,Slovenia,Midfielder,Tottenham,79,66,64,69,71,52,75,19
Jasmine Rojas,Egypt,Forward,Atlético Madrid,77,69,70,76,69,63,73,25
Greca Sinisi,Italy,Forward,Galatasaray,76,68,59,69,70,52,74,32
Dra. Mariah Lima,Brazil,Goalkeeper,Retired,82,74,68,74,83,54,78,18
Jonathan Kelly,Morocco,Forward,Al-Hilal,78,67,67,70,76,55,73,28
Patricia Cherry,Austria,Goalkeeper,Napoli,79,76,67,69,68,59,63,37
Caroline Barrett,England,Forward,AC Milan,85,68,65,74,77,59,71,37
Kristy Johnson,Guinea,Goalkeeper,Juventus,84,77,71,65,81,53,76,25
Jonathan Mccoy,Switzerland,Defender,Olympique Marseille,81,71,61,76,70,57,76,38
Ángel Daniel Rodríguez Poblete,Chile,Goalkeeper,Borussia Mönchengladbach,81,81,69,71,73,55,73,22
Natália Moura,Brazil,Midfielder,Inter Milan,78,80,70,65,72,57,72,32
Philippe Delahaye,France,Defender,Saif SC,79,65,65,65,77,57,71,25
양유진,South Korea,Midfielder,AS Roma,81,71,66,58,78,59,68,31
Marta Brenda Ortiz Cabezas,Chile,Midfielder,Napoli,77,73,69,83,78,61,69,21
Kelly Hutchinson,Georgia,Goalkeeper,Vissel Kobe,78,73,67,78,76,56,75,37
Lucien Dumortier,Belgium,Forward,Atletico Madrid,83,71,64,70,72,62,71,22
Rosa Vásquez Ortiz,Colombia,Midfielder,Al-Nassr,82,73,64,86,76,53,75,18
Megan Carlson,Slovenia,Goalkeeper,Bayern Munich,82,59,66,72,75,54,75,36
Univ.Prof. Friedhold Ditschlerin,Germany,Midfielder,Trabzonspor,77,68,61,72,74,49,78,33
Dr(a). Priscila Benitez,Argentina,Defender,Al-Sadd,86,78,77,70,79,53,70,28
Marcel Podsiadła,Poland,Midfielder,Chittagong Abahani,83,75,63,73,74,59,71,22
Josip Hahn,Germany,Goalkeeper,Abahani Limited,84,69,59,71,71,69,74,32
Lautaro Benjamin Benjamin Molina Roldan,Argentina,Forward,Atlético Madrid,78,68,68,67,72,65,74,35
Prof. Erna Danielsen,Denmark,Forward,Trabzonspor,83,70,62,69,69,58,66,24
Ms. Amanda Wilkins,Republic of Ireland,Midfielder,Aston Villa,80,64,63,75,76,67,71,30
Stephanie Ferguson,Switzerland,Goalkeeper,Saif SC,86,67,62,67,84,53,68,22
Hamza van Beek-Unruoch Hunerik,Netherlands,Defender,AS Roma,83,79,63,67,73,61,73,18
Florinda del Cerdá,Spain,Forward,Bayer Leverkusen,79,79,62,84,68,48,71,35
Anne Vidal,France,Defender,Flamengo,80,74,57,69,75,61,73,34
Benjamin Forbes,Switzerland,Defender,Tottenham,81,66,66,65,79,67,74,26
Jennifer Henderson,Nigeria,Goalkeeper,Liverpool,82,79,62,72,68,67,75,30
Stacey Alvarez,Switzerland,Forward,Al-Hilal,85,71,72,66,81,64,77,36
Courtney Johnson,Northern Ireland,Defender,Olympique Lyon,89,64,69,75,72,61,74,37
Mr. Ryan Lewis MD,Nigeria,Forward,Wrexham,83,67,74,72,71,50,79,31
Daisy Rodriguez,Guinea,Defender,Al-Rayyan,78,77,62,70,75,64,61,37
Shawn Fox,Northern Ireland,Midfielder,Inter Miami,85,76,64,67,68,57,69,36
Aimée Hervé,France,Defender,Galatasaray,80,77,61,67,83,61,71,37
Ignacio Moyano Suarez,Argentina,Goalkeeper,Atlético Madrid,80,71,62,70,75,57,70,40
Erik Schüler,Germany,Forward,Tottenham,82,71,57,68,74,54,80,37
Émilie Delannoy,France,Forward,Rayo Vallecano,81,75,63,68,77,55,81,36
Robert Dudley,Morocco,Midfielder,Montreal Impact,82,69,61,64,74,57,81,21
John Morgan,Egypt,Defender,Al-Sadd,84,69,66,76,78,61,77,38
Mrs. Linda Hill,Serbia,Goalkeeper,Nottingham Forest,85,61,66,85,75,54,71,18
Danielle Conley,Nigeria,Defender,Aston Villa,82,74,66,77,74,56,80,37
Joshua Cole DDS,Republic of Ireland,Defender,Benfica,84,74,53,72,66,57,60,23
Matthew Jensen,Egypt,Midfielder,Napoli,82,68,55,79,73,56,68,20
Chad Rice,Morocco,Goalkeeper,Leeds United,79,72,62,73,73,55,66,20
Tammy Alexander,Egypt,Goalkeeper,Chicago Fire,78,77,70,77,74,60,66,32
Thomas King,Morocco,Goalkeeper,Flamengo,80,73,71,75,82,60,78,27
Brian Ramos,Norway,Defender,Al-Rayyan,78,74,61,67,80,58,69,21
Jennifer de Jong,Netherlands,Forward,Crystal Palace,84,72,66,70,83,53,82,21
Brittany Cook,Nigeria,Goalkeeper,Montreal Impact,81,69,67,69,75,55,74,35
Ingmar Danielsson,Sweden,Forward,Leeds United,78,73,60,71,72,53,69,31
Prof. Laurenz Blümel,Germany,Midfielder,Ajax,85,75,66,76,76,66,66,30
Candice Mcgrath MD,Ecuador,Midfielder,Roma,82,67,67,72,77,70,68,22
Rocío Ana Meléndez Castro,Chile,Midfielder,Real Betis,84,72,69,79,83,55,77,38
Mauro de Matos,Portugal,Midfielder,Olympique Marseille,80,70,71,79,79,59,74,24
Tanya Hawkins,USA,Defender,Retired,80,82,55,68,75,60,70,31
Kelly Zhang,Cameroon,Forward,Vissel Kobe,83,71,76,72,74,55,64,18
Emanuel Nogueira,Portugal,Midfielder,Nottingham Forest,78,71,69,67,77,53,78,23
Carlos Mosquera Rangel,Colombia,Goalkeeper,Ajax,84,73,61,71,70,60,69,40
손현지,South Korea,Goalkeeper,Leeds United,87,76,67,63,67,46,72,31
Isaac Watson,Morocco,Goalkeeper,Inter Milan,88,81,66,74,86,59,78,34
Mara Charon,Netherlands,Goalkeeper,Retired,82,74,69,72,74,66,83,21
Marcelle Bourgeois-Marin,France,Forward,Abahani Limited,83,72,62,73,73,53,68,22
Honoré Leleu,France,Defender,Sheikh Jamal Dhanmondi Club,86,72,65,74,72,51,68,34
Jennifer Castillo,Guinea,Forward,Newcastle United,83,79,64,75,83,56,77,27
April Ross,Cameroon,Goalkeeper,Vissel Kobe,81,76,74,69,70,52,71,33
Billy Short,Senegal,Midfielder,Manchester City,83,75,68,66,69,60,73,36
Abigail Harper,USA,Forward,Manchester City,82,69,59,61,86,55,75,22
Henry Wade,Northern Ireland,Midfielder,LA Galaxy,84,76,75,70,76,54,67,26
Guusje Volcke,Netherlands,Forward,Newcastle United,81,61,67,71,85,64,73,32
Taylor Wright,Kenya,Forward,Sevilla,78,68,60,73,76,63,81,25
Boaz van Ochten,Netherlands,Midfielder,Aston Villa,84,59,62,67,75,52,68,22
Nicholas Henry,Ivory Coast,Forward,Nottingham Forest,81,62,70,69,76,65,69,26
Laura Peck,Georgia,Defender,Villarreal,83,82,64,63,75,59,75,19
